gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
1234815035																										IMR:SO2-Fishes:11271054										CC_BY_4_0			2010-09-23T01:13Z																				IMR	SO2-Fishes			HUMAN_OBSERVATION				IMR:SO2-Fishes:11271054	11271054		Ole-Håkon Heier	1																											2010-05-23T02:00Z				2010	5	23							PreviousCatalogNumber: NZF/SO-Fish/581									NO	Akershus	Akershus	Fet	Øyeren (Svellet), Fet, Ak								59.926527	11.107956																																																	Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES							b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2017-02-18T02:48Z	0.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2016-06-23T16:23Z	2017-10-25T17:07Z	true
1234815029																										IMR:SO2-Fishes:11270913										CC_BY_4_0			2010-09-13T12:11Z																				IMR	SO2-Fishes			HUMAN_OBSERVATION				IMR:SO2-Fishes:11270913	11270913		Rune Aae	0																											1995-09-13T02:00Z				1995	9	13							Har sikkert vært der enda lenger.. . PreviousCatalogNumber: NZF/SO-Fish/440									NO	Østfold	Østfold	Råde	Andedammen, Tomb, Råde, Øs								59.32105	10.811242		5.0																																															Carassius carassius (Linnaeus, 1758)								Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Carassius		carassius		SPECIES							b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2017-02-17T03:31Z	0.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED		true	false	2366645	1	44	204	1153	7336	2366633		2366645	Carassius carassius	Carassius		DWC_ARCHIVE	2016-06-23T16:23Z	2017-10-25T17:07Z	true
1234815011																										IMR:SO2-Fishes:11270910										CC_BY_4_0			2010-09-13T12:09Z																				IMR	SO2-Fishes			HUMAN_OBSERVATION				IMR:SO2-Fishes:11270910	11270910		Rune Aae	3																											2010-09-08T02:00Z				2010	9	8							Fanget i garn.. . PreviousCatalogNumber: NZF/SO-Fish/437									NO	Østfold	Østfold	Aremark	Setertjernet, Aremark, Øs								59.31521	11.718406		5.0																																															Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES							b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2017-02-18T02:48Z	0.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2016-06-23T16:23Z	2017-10-25T17:07Z	true
1234814951																										IMR:SO2-Fishes:11271019										CC_BY_4_0			2010-09-20T23:12Z																				IMR	SO2-Fishes			HUMAN_OBSERVATION				IMR:SO2-Fishes:11271019	11271019		Ole-Håkon Heier	1																											2010-09-20T02:00Z				2010	9	20							PreviousCatalogNumber: NZF/SO-Fish/546									NO	Østfold	Østfold	Hobøl	Hobølelva (Nesset), Hobøl, Øs								59.627129	10.957093																																																	Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES							b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2017-02-18T02:48Z	0.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2016-06-23T16:23Z	2017-10-25T17:07Z	true
1234814915																										IMR:SO2-Fishes:11270961										CC_BY_4_0			2010-09-16T16:40Z																				IMR	SO2-Fishes			HUMAN_OBSERVATION				IMR:SO2-Fishes:11270961	11270961		Roar Pettersen	3																											2009-08-21T02:00Z				2009	8	21							PreviousCatalogNumber: NZF/SO-Fish/488									NO	Nord-Trøndelag	Nord-Trøndelag	Frosta	Måsdammen, Tautra, Frosta, Nt								63.572775	10.609391																																																	Carassius carassius (Linnaeus, 1758)								Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Carassius		carassius		SPECIES							b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2017-02-17T03:31Z	0.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2366645	1	44	204	1153	7336	2366633		2366645	Carassius carassius	Carassius		DWC_ARCHIVE	2016-10-17T10:14Z	2017-10-25T17:07Z	true
1234814853																										IMR:SO2-Fishes:11271380										CC_BY_4_0			2010-11-01T00:08Z																				IMR	SO2-Fishes			HUMAN_OBSERVATION				IMR:SO2-Fishes:11271380	11271380		Ole-Håkon Heier	3																											2009-10-09T02:00Z				2009	10	9							PreviousCatalogNumber: NZF/SO-Fish/910									NO	Østfold	Østfold	Sarpsborg	Tunevannet, Sarpsborg, Øs								59.311171	11.096008																																																	Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES							b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2017-02-18T02:48Z	0.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2016-06-23T16:23Z	2017-10-25T17:07Z	true
1234814830																										IMR:SO2-Fishes:11270872										CC_BY_4_0			2010-09-03T00:56Z																				IMR	SO2-Fishes			HUMAN_OBSERVATION				IMR:SO2-Fishes:11270872	11270872		Øivind Wathne Johannessen	1																											2010-09-02T02:00Z				2010	9	2							Stangfiske. ca 2 kg.. . PreviousCatalogNumber: NZF/SO-Fish/397									NO	Telemark	Telemark	Bamble	Stokkevannet, Bamble, Te								59.032095	9.683857		5.0																																															Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES							b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2017-02-18T02:48Z	0.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2016-06-23T16:23Z	2017-10-25T17:07Z	true
1234814782																										IMR:SO2-Fishes:11271670										CC_BY_4_0			2011-01-05T10:36Z																				IMR	SO2-Fishes			HUMAN_OBSERVATION				IMR:SO2-Fishes:11271670	11271670		Line Selvaag	0																											2005-02-22T01:00Z				2005	2	22							Observatør/kilde: BM-rapport nr 58-2003. Halkavarre/Porsangermoen skyte- og øvingsfelt. Porsanger kommune. Finnmark. Se									NO	Finnmark	Finnmark	Porsanger	Halkavarre, Porsanger, Fi								69.911096	25.014892																																																	Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES							b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2017-02-18T02:48Z	0.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2016-10-17T10:14Z	2017-10-25T17:07Z	true
1234814690																										IMR:SO2-Fishes:11271228										CC_BY_4_0			2010-10-10T02:22Z																				IMR	SO2-Fishes			HUMAN_OBSERVATION				IMR:SO2-Fishes:11271228	11271228		Ole-Håkon Heier	4																											2010-09-29T02:00Z				2010	9	29							PreviousCatalogNumber: NZF/SO-Fish/757									NO	Østfold	Østfold	Marker	Øymarksjøen, Marker, Øs								59.363022	11.666043																																																	Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES							b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2017-02-18T02:48Z	0.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2016-06-23T16:23Z	2017-10-25T17:07Z	true
1234814677																										IMR:SO2-Fishes:11271580										CC_BY_4_0			2011-01-05T10:36Z																				IMR	SO2-Fishes			HUMAN_OBSERVATION				IMR:SO2-Fishes:11271580	11271580		Line Selvaag	0																											2005-02-22T01:00Z				2005	2	22							Observatør/kilde: BM-rapport nr 58-2003. Halkavarre/Porsangermoen skyte- og øvingsfelt. Porsanger kommune. Finnmark. Se									NO	Finnmark	Finnmark	Porsanger	Nedrevatn, Porsanger, Fi								69.895379	24.974926																																																	Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES							b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2017-02-18T02:48Z	0.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2016-10-17T10:14Z	2017-10-25T17:07Z	true
1234814640																										IMR:SO2-Fishes:11272560										CC_BY_4_0			2011-04-30T02:11Z																				IMR	SO2-Fishes			HUMAN_OBSERVATION				IMR:SO2-Fishes:11272560	11272560		Ole-Håkon Heier	5																											2008-09-21T02:00Z				2008	9	21							PreviousCatalogNumber: NZF/SO-Fish/2094									NO	Østfold	Østfold	Halden	Femsjøen, Halden, Øs								59.150518	11.493818																																																	Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES							b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2017-02-18T02:48Z	0.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2016-06-23T16:23Z	2017-10-25T17:07Z	true
1234814558																										IMR:SO2-Fishes:11272612										CC_BY_4_0			2011-05-10T00:53Z																				IMR	SO2-Fishes			HUMAN_OBSERVATION				IMR:SO2-Fishes:11272612	11272612		Erlend Iversen Skarsholt	0																											2011-05-09T02:00Z				2011	5	9							Tatt på ca 8cm lang wobbler... . PreviousCatalogNumber: NZF/SO-Fish/2146									NO	Vestfold	Vestfold	Andebu	Stålerødvannet, Andebu, Ve								59.293465	10.118327		5.0																																															Esox lucius Linnaeus, 1758								Animalia	Chordata	Actinopterygii	Esociformes	Esocidae	Esox		lucius		SPECIES							b124e1e0-4755-430f-9eab-894f25a9b59c	NO	2017-02-18T02:48Z	0.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED		true	false	2346633	1	44	204	548	7662	2346628		2346633	Esox lucius	Esox		DWC_ARCHIVE	2016-06-23T16:23Z	2017-10-25T17:07Z	true
