"species"	"decimalLongitude"	"decimalLatitude"
"Hepatica nobilis"	10.457095	48.823994
"Hepatica nobilis"	10.796556	51.528824
"Hepatica nobilis"	10.52546	52.070564
"Hepatica nobilis"	10.021859	51.72554
"Hepatica nobilis"	8.657827	50.126633
"Hepatica nobilis"	17.618361	59.836089
"Hepatica nobilis"	11.654913	57.670149
"Hepatica nobilis"	16.92912	59.238985
"Hepatica nobilis"	14.895945	57.554961
"Hepatica nobilis"	13.80309	58.381512
"Hepatica nobilis"	14.891525	59.456824
"Hepatica nobilis"	11.958849	58.374004
"Hepatica nobilis"	18.152535	59.328932
"Hepatica nobilis"	17.908598	59.294689
"Hepatica nobilis"	10.178604	60.064239
"Hepatica nobilis"	9.996758	63.578395
"Hepatica nobilis"	8.876505	58.524058
"Hepatica nobilis"	-83.64326	37.88631
"Hepatica nobilis"	9.759293	51.420193
"Hepatica nobilis"	14.366388	56.083845
"Hepatica nobilis"	16.069585	59.431569
"Hepatica nobilis"	16.907982	60.285333
"Hepatica nobilis"	16.910561	59.261316
"Hepatica nobilis"	17.689705	59.530456
"Hepatica nobilis"	16.528417	56.327705
"Hepatica nobilis"	10.758296	59.877901
"Hepatica nobilis"	8.143084	58.177303
"Hepatica nobilis"	10.698459	59.778502
"Hepatica nobilis"	11.043708	59.35496
"Hepatica nobilis"	11.043574	59.354831
"Hepatica nobilis"	11.043152	59.355262
"Hepatica nobilis"	11.04343	59.354799
"Hepatica nobilis"	9.095191	58.754332
"Hepatica nobilis"	-83.349119	38.973453
"Hepatica nobilis"	-88.708039	39.821927
"Hepatica nobilis"	-78.727897	35.820083
"Hepatica nobilis"	-85.809973	34.977197
"Hepatica nobilis"	8.663621	46.430759
"Hepatica nobilis"	14.04586	56.108378
"Hepatica nobilis"	11.902112	58.406525
"Hepatica nobilis"	16.70208	57.752159
"Hepatica nobilis"	15.908247	56.940446
"Hepatica nobilis"	12.403614	58.475412
"Hepatica nobilis"	16.37061	59.613754
"Hepatica nobilis"	15.791152	57.304543
"Hepatica nobilis"	16.186456	59.109792
"Hepatica nobilis"	9.353013	51.637356
"Hepatica nobilis"	10.73912	47.814342
"Hepatica nobilis"	13.417997	52.43409
"Hepatica nobilis"	10.350308	59.38975
"Hepatica nobilis"	10.348206	59.46724
"Hepatica nobilis"	10.029987	59.930641
"Hepatica nobilis"	3.502936	43.893039
"Hepatica nobilis"	-88.993442	41.319763
"Hepatica nobilis"	-81.370408	35.764675
"Hepatica nobilis"	9.903574	51.608421
"Hepatica nobilis"	10.032835	47.746422
"Hepatica nobilis"	9.903574	51.608421
"Hepatica nobilis"	11.71422	57.855564
"Hepatica nobilis"	12.676136	57.847003
"Hepatica nobilis"	14.269639	55.671087
"Hepatica nobilis"	17.593774	59.760021
"Hepatica nobilis"	17.834119	59.214855
"Hepatica nobilis"	18.808593	59.862629
"Hepatica nobilis"	10.047324	63.490997
"Hepatica nobilis"	9.669834	60.036824
"Hepatica nobilis"	10.657101	59.547502
"Hepatica nobilis"	10.592682	59.716113
"Hepatica nobilis"	-79.030747	35.898851
"Hepatica nobilis"	8.324362	44.861475
"Hepatica nobilis"	12.905159	48.207745
"Hepatica nobilis"	9.665513	60.038022
"Hepatica nobilis"	17.663663	59.796385
"Hepatica nobilis"	16.487598	57.734846
"Hepatica nobilis"	11.303902	47.778675
"Hepatica nobilis"	9.895091	51.403221
"Hepatica nobilis"	12.179096	47.579567
"Hepatica nobilis"	17.661983	59.664712
"Hepatica nobilis"	15.792005	57.303262
"Hepatica nobilis"	16.343805	58.942434
"Hepatica nobilis"	17.931128	59.364061
"Hepatica nobilis"	17.67783	59.104635
"Hepatica nobilis"	-0.31464	43.0688
"Hepatica nobilis"	3.31941	43.90783
"Hepatica nobilis"	-88.531035	41.632473
"Hepatica nobilis"	-88.044209	41.81816
"Hepatica nobilis"	10.769803	59.230461
"Hepatica nobilis"	10.287399	60.065495
"Hepatica nobilis"	10.412759	59.819777
"Hepatica nobilis"	11.043071	59.355161
"Hepatica nobilis"	-94.3821	45.5815
"Hepatica nobilis"	16.392143	58.926567
"Hepatica nobilis"	15.791395	57.305072
"Hepatica nobilis"	16.131057	57.904239
"Hepatica nobilis"	10.723515	51.543774
"Hepatica nobilis"	12.178811	47.579964
"Hepatica nobilis"	12.456829	47.674137
"Hepatica nobilis"	11.556367	50.944771
"Hepatica nobilis"	17.787873	59.497515
"Hepatica nobilis"	18.020896	59.383039
"Hepatica nobilis"	11.510839	48.035969
"Hepatica nobilis"	7.168234	47.851826
"Hepatica nobilis"	13.417997	52.43409
"Hepatica nobilis"	9.852487	52.001564
